# exact coordinates (udg.F repr), subset |x|<1.2074 of small5_r15; edges = all exact unit pairs
P(-39/32 + 1/32*sqrt(5) + 3/32*sqrt(33) + -1/32*sqrt(165), -23/96*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-25/32 + -1/32*sqrt(5) + 23/96*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1 + -1/16*sqrt(5) + 5/16*sqrt(33), -1/48*sqrt(3) + 1/16*sqrt(55))
P(-25/32 + -3/32*sqrt(5) + 3/32*sqrt(33) + 1/32*sqrt(165), 5/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-39/32 + -3/32*sqrt(5) + 23/96*sqrt(33) + 1/32*sqrt(165), 5/96*sqrt(3) + -7/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-23/16 + -1/16*sqrt(5) + 1/6*sqrt(33), -1/48*sqrt(3) + -1/16*sqrt(15))
P(-1 + -1/8*sqrt(5) + 1/6*sqrt(33), 1/8*sqrt(3))
P(-5/4 + 1/12*sqrt(33), -11/12*sqrt(3) + 1/4*sqrt(11))
P(-4/3 + 1/6*sqrt(33), -1/2*sqrt(3) + 1/3*sqrt(11))
P(-7/12 + 1/12*sqrt(33), -3/4*sqrt(3) + 5/12*sqrt(11))
P(-7/6 + 1/6*sqrt(33), -2/3*sqrt(3) + 1/3*sqrt(11))
P(-11/12 + 1/12*sqrt(33), -3/4*sqrt(3) + 5/12*sqrt(11))
P(-3/4 + 1/12*sqrt(33), -7/12*sqrt(3) + 5/12*sqrt(11))
P(-1 + 1/6*sqrt(33), -1*sqrt(3) + 1/2*sqrt(11))
P(-1/2, -1*sqrt(3) + 1/2*sqrt(11))
P(-4/3 + 1/6*sqrt(33), -5/6*sqrt(3) + 1/3*sqrt(11))
P(-17/12 + 1/12*sqrt(33), -7/12*sqrt(3) + 5/12*sqrt(11))
P(-7/6 + 1/6*sqrt(33), -1*sqrt(3) + 1/3*sqrt(11))
P(-1/3, -1*sqrt(3) + 1/3*sqrt(11))
P(-1, -5/6*sqrt(3) + 1/2*sqrt(11))
P(-1/4 + 1/12*sqrt(33), -5/12*sqrt(3) + 5/12*sqrt(11))
P(-5/3 + 1/6*sqrt(33), -1/6*sqrt(3) + 1/3*sqrt(11))
P(-11/12 + 1/12*sqrt(33), -7/12*sqrt(3) + 7/12*sqrt(11))
P(-5/6 + 1/6*sqrt(33), -1*sqrt(3) + 1/3*sqrt(11))
P(-2/3, -1*sqrt(3) + 1/3*sqrt(11))
P(-1/3 + 1/6*sqrt(33), -5/6*sqrt(3) + 1/3*sqrt(11))
P(-7/12 + 1/4*sqrt(33), -7/12*sqrt(3) + 5/12*sqrt(11))
P(-1/6 + 1/6*sqrt(33), -1*sqrt(3) + 1/3*sqrt(11))
P(1/3, -1*sqrt(3) + 1/3*sqrt(11))
P(-31/32 + -1/32*sqrt(5) + 29/96*sqrt(33) + 1/32*sqrt(165), -11/32*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-17/32 + 1/32*sqrt(5) + 5/32*sqrt(33) + -1/32*sqrt(165), -47/96*sqrt(3) + 15/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-31/32 + 1/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), -47/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-31/32 + -1/32*sqrt(5) + 1/96*sqrt(33) + 1/32*sqrt(165), -11/32*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-31/32 + -1/32*sqrt(5) + 5/32*sqrt(33) + -1/32*sqrt(165), -11/32*sqrt(3) + 15/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-3/4 + 1/16*sqrt(5) + -1/16*sqrt(33), -9/16*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(-17/32 + 1/32*sqrt(5) + 1/96*sqrt(33) + 1/32*sqrt(165), -47/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-17/32 + -1/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), -11/32*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-3/4 + -1/16*sqrt(5) + 11/48*sqrt(33), -13/48*sqrt(3) + 1/4*sqrt(11) + 1/16*sqrt(55))
P(-19/16 + 11/48*sqrt(33), -5/12*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(15) + 1/16*sqrt(55))
P(-31/32 + -3/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), -19/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-19/16 + -1/16*sqrt(5) + 1/12*sqrt(33), -13/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(15))
P(-3/4 + -1/16*sqrt(5) + 1/12*sqrt(33) + 1/16*sqrt(165), -13/48*sqrt(3) + -3/16*sqrt(11))
P(2/3 + -1/6*sqrt(33), 5/6*sqrt(3) + -1/3*sqrt(11))
P(5/12 + -1/12*sqrt(33), 11/12*sqrt(3) + -5/12*sqrt(11))
P(5/4 + -1/4*sqrt(33), 3/4*sqrt(3) + -1/4*sqrt(11))
P(1 + -1/6*sqrt(33), 1*sqrt(3) + -1/2*sqrt(11))
P(7/12 + -1/12*sqrt(33), 13/12*sqrt(3) + -5/12*sqrt(11))
P(1/6 + -1/6*sqrt(33), 1*sqrt(3) + -1/3*sqrt(11))
P(3/4 + -1/4*sqrt(33), 11/12*sqrt(3) + -1/4*sqrt(11))
P(11/12 + -1/12*sqrt(33), 13/12*sqrt(3) + -5/12*sqrt(11))
P(-5/12 + -1/12*sqrt(33), 13/12*sqrt(3) + -5/12*sqrt(11))
P(13/12 + -1/12*sqrt(33), 11/12*sqrt(3) + -5/12*sqrt(11))
P(7/12 + -1/4*sqrt(33), 7/12*sqrt(3) + -5/12*sqrt(11))
P(1/12 + 1/12*sqrt(33), 13/12*sqrt(3) + -5/12*sqrt(11))
P(13/12 + -1/12*sqrt(33), 7/12*sqrt(3) + -5/12*sqrt(11))
P(13/12 + -1/4*sqrt(33), 3/4*sqrt(3) + -5/12*sqrt(11))
P(1/32 + -1/32*sqrt(5) + 13/96*sqrt(33) + 1/32*sqrt(165), 21/32*sqrt(3) + -15/32*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(15/32 + 1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), 49/96*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/4 + -1/16*sqrt(5) + -11/48*sqrt(33), 35/48*sqrt(3) + -1/4*sqrt(11) + -1/16*sqrt(55))
P(1/4 + 1/16*sqrt(5) + -11/48*sqrt(33), 7/16*sqrt(3) + -1/4*sqrt(11) + -1/16*sqrt(55))
P(15/32 + 1/32*sqrt(5) + -5/32*sqrt(33) + 1/32*sqrt(165), 49/96*sqrt(3) + -15/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(15/32 + -1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), 21/32*sqrt(3) + -15/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/4 + -1/16*sqrt(5) + 1/16*sqrt(33), 35/48*sqrt(3) + -1/4*sqrt(11) + 1/16*sqrt(55))
P(-2/3 + 1/6*sqrt(33), 5/6*sqrt(3) + -1/3*sqrt(11))
P(-5/6 + 1/6*sqrt(33), 2/3*sqrt(3) + -1/3*sqrt(11))
P(-5/12 + 1/12*sqrt(33), 11/12*sqrt(3) + -5/12*sqrt(11))
P(-1/2 + 1/6*sqrt(33), 2/3*sqrt(3) + -1/3*sqrt(11))
P(-5/4 + 1/4*sqrt(33), 3/4*sqrt(3) + -1/4*sqrt(11))
P(-1 + 1/6*sqrt(33), 1*sqrt(3) + -1/2*sqrt(11))
P(-3/4 + 1/4*sqrt(33), 11/12*sqrt(3) + -1/4*sqrt(11))
P(5/12 + 1/12*sqrt(33), 13/12*sqrt(3) + -5/12*sqrt(11))
P(-11/12 + 1/12*sqrt(33), 13/12*sqrt(3) + -5/12*sqrt(11))
P(-1/2 + 1/6*sqrt(33), 5/6*sqrt(3) + -1/6*sqrt(11))
P(-7/6 + 1/6*sqrt(33), 5/6*sqrt(3) + -1/6*sqrt(11))
P(-7/12 + 1/4*sqrt(33), 7/12*sqrt(3) + -5/12*sqrt(11))
P(-13/12 + 1/12*sqrt(33), 11/12*sqrt(3) + -5/12*sqrt(11))
P(1/6 + 1/6*sqrt(33), 2/3*sqrt(3) + -1/3*sqrt(11))
P(-13/12 + 1/12*sqrt(33), 7/12*sqrt(3) + -5/12*sqrt(11))
P(-7/12 + 1/12*sqrt(33), 7/12*sqrt(3) + -7/12*sqrt(11))
P(-17/12 + 1/12*sqrt(33), 7/12*sqrt(3) + -5/12*sqrt(11))
P(-1/32 + -1/32*sqrt(5) + 1/96*sqrt(33) + -1/32*sqrt(165), 21/32*sqrt(3) + -1/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-15/32 + -1/32*sqrt(5) + 1/96*sqrt(33) + 1/32*sqrt(165), 21/32*sqrt(3) + -15/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-1/4 + -1/16*sqrt(5) + -1/16*sqrt(33), 35/48*sqrt(3) + -1/4*sqrt(11) + -1/16*sqrt(55))
P(-15/32 + -1/32*sqrt(5) + 5/32*sqrt(33) + -1/32*sqrt(165), 21/32*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-15/32 + 1/32*sqrt(5) + 1/96*sqrt(33) + -1/32*sqrt(165), 49/96*sqrt(3) + -1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-1/4 + 1/16*sqrt(5) + -1/16*sqrt(33), 7/16*sqrt(3) + -1/4*sqrt(11) + -1/16*sqrt(55))
P(-1/32 + 1/32*sqrt(5) + 1/96*sqrt(33) + 1/32*sqrt(165), 49/96*sqrt(3) + -15/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-1/32 + -1/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), 21/32*sqrt(3) + -15/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(11/12 + -1/12*sqrt(33), -3/4*sqrt(3) + 5/12*sqrt(11))
P(7/6 + -1/6*sqrt(33), -2/3*sqrt(3) + 1/3*sqrt(11))
P(7/12 + -1/12*sqrt(33), -3/4*sqrt(3) + 5/12*sqrt(11))
P(3/4 + -1/12*sqrt(33), -7/12*sqrt(3) + 5/12*sqrt(11))
P(1/2, -1*sqrt(3) + 1/2*sqrt(11))
P(1 + -1/6*sqrt(33), -1*sqrt(3) + 1/2*sqrt(11))
P(4/3 + -1/6*sqrt(33), -5/6*sqrt(3) + 1/3*sqrt(11))
P(11/6 + -1/6*sqrt(33), -2/3*sqrt(3) + 1/3*sqrt(11))
P(17/12 + -1/12*sqrt(33), -7/12*sqrt(3) + 5/12*sqrt(11))
P(11/6 + -1/6*sqrt(33), -1/3*sqrt(3) + 1/3*sqrt(11))
P(1, -5/6*sqrt(3) + 1/2*sqrt(11))
P(1, -2/3*sqrt(3) + 1/3*sqrt(11))
P(7/12 + -1/12*sqrt(33), -7/12*sqrt(3) + 7/12*sqrt(11))
P(2/3, -1*sqrt(3) + 1/3*sqrt(11))
P(5/6 + -1/6*sqrt(33), -1*sqrt(3) + 1/3*sqrt(11))
P(17/12 + -1/12*sqrt(33), -3/4*sqrt(3) + 7/12*sqrt(11))
P(13/12 + -1/12*sqrt(33), -1/4*sqrt(3) + 5/12*sqrt(11))
P(1/3 + -1/6*sqrt(33), -5/6*sqrt(3) + 1/3*sqrt(11))
P(31/32 + -1/32*sqrt(5) + -5/32*sqrt(33) + -1/32*sqrt(165), -11/32*sqrt(3) + 15/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(31/32 + 1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -47/96*sqrt(3) + 15/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(17/32 + 1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), -47/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(17/32 + -1/32*sqrt(5) + -5/32*sqrt(33) + 1/32*sqrt(165), -11/32*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(3/4 + -1/16*sqrt(5) + -11/48*sqrt(33), -13/48*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(17/32 + -1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -11/32*sqrt(3) + 15/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(17/32 + 1/32*sqrt(5) + -5/32*sqrt(33) + -1/32*sqrt(165), -47/96*sqrt(3) + 15/32*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(3/4 + 1/16*sqrt(5) + -11/48*sqrt(33), -9/16*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(55))
P(31/32 + 1/32*sqrt(5) + -5/32*sqrt(33) + 1/32*sqrt(165), -47/96*sqrt(3) + 1/32*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(5/16 + 1/16*sqrt(33), -5/12*sqrt(3) + 1/4*sqrt(11) + -1/16*sqrt(15) + 1/16*sqrt(55))
P(17/32 + -3/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), -19/96*sqrt(3) + 1/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-37/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), -3/32*sqrt(3) + 7/32*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(5/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/6 + -1/16*sqrt(5) + 7/48*sqrt(33), -1/48*sqrt(3) + 1/16*sqrt(55))
P(5/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 23/96*sqrt(3) + -7/32*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/6 + -1/16*sqrt(5) + 7/48*sqrt(33), 5/16*sqrt(3) + 1/16*sqrt(55))
P(2/3, 1*sqrt(3) + -1/3*sqrt(11))
P(53/96 + -1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), 23/96*sqrt(3) + 5/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(53/96 + 1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), 3/32*sqrt(3) + 5/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/3 + -1/16*sqrt(5) + -7/48*sqrt(33), 5/16*sqrt(3) + -1/6*sqrt(11) + -1/16*sqrt(55))
P(11/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), 23/96*sqrt(3) + 5/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(11/96 + 1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), 3/32*sqrt(3) + 5/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(1/3 + 1/16*sqrt(5) + -7/48*sqrt(33), 1/48*sqrt(3) + -1/6*sqrt(11) + -1/16*sqrt(55))
P(1/3 + -1/16*sqrt(5) + 7/48*sqrt(33), 5/16*sqrt(3) + -1/6*sqrt(11) + 1/16*sqrt(55))
P(-4/3 + 1/6*sqrt(33), -1/2*sqrt(3))
P(-7/12 + 1/4*sqrt(33), 5/12*sqrt(3) + -1/4*sqrt(11))
P(-19/12 + 1/12*sqrt(33), -1/4*sqrt(3) + 1/4*sqrt(11))
P(-19/96 + -1/32*sqrt(5) + 1/96*sqrt(33) + -1/32*sqrt(165), -1/96*sqrt(3) + 13/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-19/96 + 1/32*sqrt(5) + 5/32*sqrt(33) + -1/32*sqrt(165), -5/32*sqrt(3) + 13/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-5/12 + -1/16*sqrt(5) + -1/16*sqrt(33), 1/16*sqrt(3) + -1/12*sqrt(11) + -1/16*sqrt(55))
P(-61/96 + -1/32*sqrt(5) + 5/32*sqrt(33) + -1/32*sqrt(165), -1/96*sqrt(3) + 13/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-61/96 + 1/32*sqrt(5) + 1/96*sqrt(33) + -1/32*sqrt(165), -5/32*sqrt(3) + 13/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-5/12 + -1/16*sqrt(5) + 11/48*sqrt(33), 1/16*sqrt(3) + -1/12*sqrt(11) + 1/16*sqrt(55))
P(-61/96 + -3/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), 13/96*sqrt(3) + -29/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(4/3 + -1/6*sqrt(33), -1/2*sqrt(3))
P(19/12 + -1/12*sqrt(33), -1/4*sqrt(3) + 1/4*sqrt(11))
P(13/12 + -1/4*sqrt(33), 1/4*sqrt(3) + -1/4*sqrt(11))
P(61/96 + -1/32*sqrt(5) + -5/32*sqrt(33) + -1/32*sqrt(165), -1/96*sqrt(3) + 13/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(61/96 + 1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -5/32*sqrt(3) + 13/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(19/96 + -1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -1/96*sqrt(3) + 13/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(19/96 + 1/32*sqrt(5) + -5/32*sqrt(33) + -1/32*sqrt(165), -5/32*sqrt(3) + 13/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(61/96 + -1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), -1/96*sqrt(3) + -29/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(5/12 + -1/16*sqrt(5) + 1/16*sqrt(33), 1/16*sqrt(3) + -1/12*sqrt(11) + 1/16*sqrt(55))
P(-2/3, 1*sqrt(3) + -1/3*sqrt(11))
P(-53/96 + -1/32*sqrt(5) + 7/32*sqrt(33) + 1/32*sqrt(165), 23/96*sqrt(3) + -37/96*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-11/96 + -1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), 23/96*sqrt(3) + 5/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-11/96 + 1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), 3/32*sqrt(3) + 5/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-53/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + -1/32*sqrt(165), 23/96*sqrt(3) + 5/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-11/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), 23/96*sqrt(3) + -37/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/3 + -1/16*sqrt(5) + 7/48*sqrt(33), 5/16*sqrt(3) + -1/6*sqrt(11) + 1/16*sqrt(55))
P(7/6 + -1/6*sqrt(33), -5/6*sqrt(3) + 1/6*sqrt(11))
P(-13/96 + -1/32*sqrt(5) + 13/96*sqrt(33) + 1/32*sqrt(165), -17/96*sqrt(3) + -13/96*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(29/96 + 1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -31/96*sqrt(3) + 29/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-13/96 + 1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), -31/96*sqrt(3) + -13/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-13/96 + -1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), -17/96*sqrt(3) + 29/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(29/96 + 1/32*sqrt(5) + -5/32*sqrt(33) + 1/32*sqrt(165), -31/96*sqrt(3) + -13/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(29/96 + -1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), -17/96*sqrt(3) + -13/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/12 + -1/16*sqrt(5) + 1/16*sqrt(33), -5/48*sqrt(3) + 1/12*sqrt(11) + 1/16*sqrt(55))
P(-1/12 + -1/12*sqrt(33), 11/12*sqrt(3) + -1/4*sqrt(11))
P(5/12 + 1/12*sqrt(33), 11/12*sqrt(3) + -1/4*sqrt(11))
P(5/12 + -1/12*sqrt(33), 13/12*sqrt(3) + -1/4*sqrt(11))
P(11/12 + -1/4*sqrt(33), 5/12*sqrt(3) + -1/4*sqrt(11))
P(-13/96 + -1/32*sqrt(5) + 13/96*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + -29/96*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(29/96 + 1/32*sqrt(5) + -1/96*sqrt(33) + -1/32*sqrt(165), 17/96*sqrt(3) + 13/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-13/96 + -1/32*sqrt(5) + -5/32*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + -29/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(29/96 + -1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), 31/96*sqrt(3) + -29/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(1/12 + -1/16*sqrt(5) + 1/16*sqrt(33), 19/48*sqrt(3) + -1/12*sqrt(11) + 1/16*sqrt(55))
P(-17/12 + 1/12*sqrt(33), -5/12*sqrt(3) + 1/4*sqrt(11))
P(1/3, -1/2*sqrt(3) + 1/2*sqrt(11))
P(-7/6 + 1/6*sqrt(33), -2/3*sqrt(3))
P(-53/96 + -1/32*sqrt(5) + 7/32*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + 3/32*sqrt(55))
P(-53/96 + 1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), -23/96*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-53/96 + -1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-1/3 + 1/16*sqrt(5) + -7/48*sqrt(33), -5/16*sqrt(3) + 1/6*sqrt(11) + -1/16*sqrt(55))
P(-11/96 + 1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), -23/96*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-11/96 + -1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -5/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-1/3 + -1/16*sqrt(5) + 7/48*sqrt(33), -1/48*sqrt(3) + 1/6*sqrt(11) + 1/16*sqrt(55))
P(19/96 + 1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), 1/96*sqrt(3) + -13/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(19/96 + -1/32*sqrt(5) + -5/32*sqrt(33) + 1/32*sqrt(165), 5/32*sqrt(3) + -13/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(5/12 + -1/16*sqrt(5) + -11/48*sqrt(33), 11/48*sqrt(3) + 1/12*sqrt(11) + -1/16*sqrt(55))
P(5/12 + 1/16*sqrt(5) + -11/48*sqrt(33), -1/16*sqrt(3) + 1/12*sqrt(11) + -1/16*sqrt(55))
P(61/96 + -1/32*sqrt(5) + -1/96*sqrt(33) + 1/32*sqrt(165), 5/32*sqrt(3) + -13/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(-61/96 + 1/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), 1/96*sqrt(3) + -13/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(-61/96 + -1/32*sqrt(5) + 1/96*sqrt(33) + 1/32*sqrt(165), 5/32*sqrt(3) + -13/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-5/12 + -1/16*sqrt(5) + -1/16*sqrt(33), 11/48*sqrt(3) + 1/12*sqrt(11) + -1/16*sqrt(55))
P(-61/96 + 1/32*sqrt(5) + 1/96*sqrt(33) + -1/32*sqrt(165), 1/96*sqrt(3) + 29/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(-19/96 + 1/32*sqrt(5) + 1/96*sqrt(33) + 1/32*sqrt(165), 1/96*sqrt(3) + -13/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(-19/96 + -1/32*sqrt(5) + 5/32*sqrt(33) + 1/32*sqrt(165), 5/32*sqrt(3) + -13/96*sqrt(11) + 1/32*sqrt(15) + 1/32*sqrt(55))
P(17/12 + -1/12*sqrt(33), -5/12*sqrt(3) + 1/4*sqrt(11))
P(17/12 + -1/12*sqrt(33), -1/12*sqrt(3) + 1/4*sqrt(11))
P(7/6 + -1/6*sqrt(33), -2/3*sqrt(3))
P(17/12 + -1/12*sqrt(33), -3/4*sqrt(3) + 1/4*sqrt(11))
P(53/96 + -1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), -3/32*sqrt(3) + 37/96*sqrt(11) + 1/32*sqrt(15) + -1/32*sqrt(55))
P(11/96 + 1/32*sqrt(5) + 7/96*sqrt(33) + 1/32*sqrt(165), -23/96*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + 1/32*sqrt(55))
P(11/96 + -1/32*sqrt(5) + -7/96*sqrt(33) + 1/32*sqrt(165), -3/32*sqrt(3) + -5/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(1/3 + -1/16*sqrt(5) + -7/48*sqrt(33), -1/48*sqrt(3) + 1/6*sqrt(11) + -1/16*sqrt(55))
P(11/96 + 1/32*sqrt(5) + -7/96*sqrt(33) + -1/32*sqrt(165), -23/96*sqrt(3) + 37/96*sqrt(11) + -1/32*sqrt(15) + -1/32*sqrt(55))
P(1/3 + 1/16*sqrt(5) + -7/48*sqrt(33), -5/16*sqrt(3) + 1/6*sqrt(11) + -1/16*sqrt(55))
